FRAME_N,LOC_R,LOC_C,TRACK_N,ROI_NUM,MOL_ID
209.0,37.911598205566406,153.87716674804688,1.0,2.0,44.0
210.0,38.051483154296875,152.80288696289062,1.0,2.0,46.0
211.0,37.84117126464844,152.9148406982422,1.0,2.0,47.0
212.0,38.90861892700195,151.93661499023438,1.0,2.0,49.0
213.0,37.504302978515625,152.81497192382812,1.0,2.0,51.0
214.0,37.511756896972656,153.1359405517578,1.0,2.0,52.0
215.0,37.56621170043945,152.9526824951172,1.0,2.0,53.0
217.0,37.97856140136719,153.15863037109375,1.0,2.0,56.0
219.0,37.944297790527344,152.6441192626953,1.0,2.0,58.0
220.0,38.595306396484375,154.13186645507812,1.0,2.0,59.0
221.0,37.8972282409668,153.77967834472656,1.0,2.0,61.0
222.0,37.13579177856445,154.0006103515625,1.0,2.0,62.0
223.0,37.40745544433594,154.24264526367188,1.0,2.0,63.0
224.0,37.514400482177734,153.7364044189453,1.0,2.0,65.0
225.0,37.10266876220703,151.760009765625,1.0,2.0,67.0
226.0,37.5733757019043,153.6811981201172,1.0,2.0,70.0
227.0,37.5327033996582,152.17074584960938,1.0,2.0,73.0
229.0,42.35814666748047,155.89404296875,2.0,2.0,78.0
230.0,42.297943115234375,157.50917053222656,2.0,2.0,80.0
231.0,43.908260345458984,156.93939208984375,2.0,2.0,82.0
232.0,42.37080001831055,155.9117431640625,2.0,2.0,84.0
233.0,44.056583404541016,156.13099670410156,2.0,2.0,86.0
234.0,45.21807098388672,156.62904357910156,2.0,2.0,89.0
235.0,49.12133026123047,150.77381896972656,2.0,2.0,90.0
236.0,50.73237609863281,148.5318603515625,2.0,2.0,93.0
237.0,51.040802001953125,148.0740203857422,2.0,2.0,96.0
238.0,49.936607360839844,146.1248321533203,2.0,2.0,99.0
239.0,49.302738189697266,151.2887420654297,2.0,2.0,102.0
240.0,44.865966796875,150.78079223632812,2.0,2.0,106.0
241.0,44.29745101928711,153.8047637939453,2.0,2.0,108.0
243.0,36.52090072631836,151.36749267578125,2.0,2.0,112.0
257.0,103.32723236083984,152.09341430664062,3.0,4.0,132.0
258.0,105.15872192382812,150.2432098388672,3.0,4.0,133.0
259.0,102.66015625,149.79859924316406,3.0,4.0,137.0
262.0,103.08206939697266,151.14675903320312,3.0,4.0,144.0
261.0,42.09110641479492,152.48411560058594,4.0,2.0,141.0
262.0,41.27091979980469,151.6848907470703,4.0,2.0,143.0
263.0,41.6025505065918,150.59498596191406,4.0,2.0,145.0
264.0,41.56425476074219,150.28988647460938,4.0,2.0,148.0
265.0,41.09566116333008,148.9844970703125,4.0,2.0,151.0
