amp,ang,chi_squares,col,colCI,err,frame,goodfit,molid,offset,roinum,row,rowCI,states,sum,widthc,widthr
575.0054,0.0,27001828.0,88.74053,"(4.043978, 0.)",0.15163898,1.0,1,1.0,-142.70357,1,92.34135,"(4.043978, 0.)",0,47605.7,5.7849054,5.7849054
710.0401,0.0,22010180.0,84.452126,"(0.8341991, 0.)",0.19104522,2.0,1,2.0,84.37579,1,93.45458,"(0.8341991, 0.)",0,42061.727,1.9906657,1.9906657
1108.7412,0.0,20451336.0,85.94493,"(0.52495986, 0.)",0.29397625,3.0,1,3.0,96.85653,1,93.00933,"(0.52495986, 0.)",0,45199.336,1.5716537,1.5716537
517.71045,0.0,19882212.0,87.82027,"(2.356657, 0.)",0.19580984,4.0,1,4.0,-37.54522,1,92.37919,"(2.356657, 0.)",0,52204.703,4.7529087,4.7529087
933.0018,0.0,25086246.0,85.43906,"(0.8824464, 0.)",0.3199364,5.0,1,5.0,77.63965,1,93.532906,"(0.8824464, 0.)",0,56094.727,2.397162,2.397162
2176.7173,0.0,10150602.0,88.45085,"(0.22482127, 0.)",0.11242986,5.0,0,6.0,22.233482,1,49.119526,"(0.22482127, 0.)",0,8091.878,0.3582124,0.3582124
609.3436,0.0,12932790.0,92.06039,"(0.47762227, 0.)",0.083993375,5.0,1,7.0,58.475044,1,83.49039,"(0.47762227, 0.)",0,20969.316,1.0303122,1.0303122
653.4263,0.0,24474262.0,88.1166,"(1.8920355, 0.)",0.25323313,6.0,1,8.0,-14.893569,1,92.77562,"(1.8920355, 0.)",0,49650.34,3.7048867,3.7048867
1355.6755,0.0,11685348.0,92.362236,"(0.36569506, 0.)",0.2778796,7.0,1,9.0,49.543396,1,91.17076,"(0.36569506, 0.)",0,21191.273,0.8982139,0.8982139
3062.7395,0.0,11783895.0,92.45162,"(0.09847727, 0.)",0.22934335,8.0,0,10.0,76.654724,1,90.75624,"(0.09847727, 0.)",0,25376.93,0.42110336,0.42110336
449.35623,0.0,15606278.0,93.51454,"(1.2606999, 0.)",0.12684971,9.0,1,11.0,44.850876,1,91.12019,"(1.2606999, 0.)",0,25446.139,2.1029463,2.1029463
450.54227,0.0,13984232.0,92.95945,"(1.446824, 0.)",0.15271163,10.0,1,12.0,30.821787,1,91.38375,"(1.446824, 0.)",0,23242.27,2.2509005,2.2509005
333.2135,0.0,17555946.0,89.66185,"(2.427738, 0.)",0.10428035,11.0,1,13.0,18.062454,1,92.11267,"(2.427738, 0.)",0,26576.1,3.2218053,3.2218053
423.03452,0.0,13772156.0,87.725266,"(5.2280526, 0.)",0.13951457,12.0,1,14.0,-143.55511,1,93.11684,"(5.2280526, 0.)",0,29775.348,6.2841306,6.2841306
970.5948,0.0,21521516.0,84.60549,"(0.6961064, 0.)",0.270333,13.0,1,15.0,78.26693,1,94.85236,"(0.6961064, 0.)",0,41611.918,1.7649673,1.7649673
684.36816,0.0,25263360.0,86.15943,"(1.2144814, 0.)",0.2112872,14.0,1,16.0,58.211678,1,94.77367,"(1.2144814, 0.)",0,43993.68,2.5165048,2.5165048
1055.9327,0.0,21177256.0,85.336945,"(0.7612043, 0.)",0.33708405,15.0,1,17.0,63.340176,1,94.65222,"(0.7612043, 0.)",0,42552.15,1.9117231,1.9117231
193.78862,0.0,7609654.5,75.55001,"(33.129047, 0.)",0.077127755,16.0,0,18.0,-31.262016,1,106.40856,"(33.129047, 0.)",0,1092.4297,2.8955696,2.8955696
519.5743,0.0,15682918.0,86.912605,"(1.8015033, 0.)",0.2333489,16.0,1,19.0,4.3287687,1,94.45162,"(1.8015033, 0.)",0,31059.21,3.0421665,3.0421665
458.94827,0.0,14952966.0,85.91197,"(1.111896, 0.)",0.14671743,17.0,1,20.0,56.983124,1,95.35983,"(1.111896, 0.)",0,30687.229,2.2226682,2.2226682
612.81165,0.0,21071194.0,86.40725,"(1.211918, 0.)",0.21613556,18.0,1,21.0,57.694595,1,94.840004,"(1.211918, 0.)",0,43686.215,2.6571798,2.6571798
417.22604,0.0,17200728.0,88.42067,"(3.8998852, 0.)",0.14899802,19.0,1,22.0,-79.20575,1,94.15007,"(3.8998852, 0.)",0,32787.746,5.1180835,5.1180835
822.07404,0.0,20459838.0,92.6409,"(0.67675626, 0.)",0.22862238,20.0,1,23.0,92.44879,1,93.66997,"(0.67675626, 0.)",0,43968.734,1.8274571,1.8274571
463.15372,0.0,17236040.0,92.798706,"(1.5129344, 0.)",0.14376277,21.0,1,24.0,36.01611,1,92.29658,"(1.5129344, 0.)",0,26935.736,2.3863177,2.3863177
359.7193,0.0,10880946.0,94.030525,"(1.5326306, 0.)",0.12994725,23.0,1,25.0,27.53734,1,90.95996,"(1.5326306, 0.)",0,19575.36,2.268025,2.268025
1597.1884,0.0,13330250.0,83.147644,"(0.33152208, 0.)",0.2995922,24.0,1,26.0,55.00732,1,96.27768,"(0.33152208, 0.)",0,23267.197,0.8569727,0.8569727
499.85947,0.0,10004481.0,93.72353,"(1.1670051, 0.)",0.22040826,24.0,1,27.0,28.211773,1,90.82578,"(1.1670051, 0.)",0,22187.186,2.114227,2.114227
768.05774,0.0,11672200.0,93.90425,"(0.867565, 0.)",0.2799194,25.0,1,28.0,31.720253,1,90.82846,"(0.867565, 0.)",0,22608.758,1.6689072,1.6689072
624.2912,0.0,16894102.0,83.54498,"(1.0499326, 0.)",0.22202224,26.0,1,29.0,52.959347,1,95.64928,"(1.0499326, 0.)",0,35077.2,2.24551,2.24551
1046.3385,0.0,14096893.0,83.11815,"(0.7095472, 0.)",0.34372383,27.0,1,30.0,39.393787,1,94.46593,"(0.7095472, 0.)",0,27138.658,1.5479873,1.5479873
536.6707,0.0,12140518.0,94.399414,"(1.1147496, 0.)",0.20101088,27.0,1,31.0,35.172195,1,90.40736,"(1.1147496, 0.)",0,24016.762,2.0268276,2.0268276
1216.1621,0.0,7433875.5,75.234085,"(1.2907398, 0.)",0.14708853,28.0,0,32.0,0.083905816,2,132.27377,"(1.2907398, 0.)",0,2169.3662,0.5298461,0.5298461
587.34357,0.0,27810672.0,83.42082,"(0.9531987, 0.)",0.1108017,28.0,1,33.0,90.89022,1,95.44703,"(0.9531987, 0.)",0,40314.92,1.9564492,1.9564492
152.96266,0.0,9302428.0,88.14244,"(8.88974, 0.)",0.038460135,28.0,0,34.0,-36.44557,1,79.365395,"(8.88974, 0.)",0,12535.092,5.7314234,5.7314234
407.8662,0.0,16560904.0,84.242004,"(1.4439394, 0.)",0.12253857,29.0,1,35.0,46.29087,1,94.584854,"(1.4439394, 0.)",0,28644.451,2.4423356,2.4423356
484.96295,0.0,18442412.0,95.39231,"(1.0089029, 0.)",0.1062271,29.0,1,36.0,63.439022,1,91.91454,"(1.0089029, 0.)",0,28994.14,1.8704149,1.8704149
550.86304,0.0,11962483.0,83.057335,"(1.1103282, 0.)",0.20992947,30.0,1,37.0,33.432476,1,95.568344,"(1.1103282, 0.)",0,23655.025,2.0109932,2.0109932
