amp,ang,chi_squares,col,colCI,err,frame,goodfit,molid,offset,roinum,row,rowCI,states,sum,widthc,widthr
819.68835,0.0,8023615.0,104.00354,"(2.4073462, 0.)",0.074471354,1.0,0,1.0,-9.4415455,2,133.30571,"(2.4073462, 0.)",0,-1234.4208,0.5374529,0.5374529
2452.2234,0.0,7419777.0,158.76414,"(0.20843348, 0.)",0.22802013,3.0,0,2.0,21.937054,3,107.63986,"(0.20843348, 0.)",0,8611.253,0.3940835,0.3940835
2474.6501,0.0,11861614.0,75.356476,"(0.36667362, 0.)",0.11194044,4.0,0,3.0,13.80873,2,143.64178,"(0.36667362, 0.)",0,6046.6655,0.3880573,0.3880573
2871.4077,0.0,6655429.0,90.47075,"(0.22590482, 0.)",0.24521744,7.0,0,4.0,14.310436,2,145.94728,"(0.22590482, 0.)",0,6254.0327,0.34835914,0.34835914
1514.4252,0.0,7854293.0,131.94781,"(0.34923252, 0.)",0.18269211,7.0,0,5.0,17.221764,3,132.35602,"(0.34923252, 0.)",0,7236.962,0.48582616,0.48582616
222.16756,0.0,10273340.0,74.280266,"(4.450942, 0.)",0.074909806,8.0,0,6.0,-7.3153286,2,139.56459,"(4.450942, 0.)",0,9351.642,2.8758826,2.8758826
120.712166,0.0,10309400.0,73.14633,"(4.740895, 0.)",0.025127709,11.0,0,7.0,9.233982,2,141.84686,"(4.740895, 0.)",0,10228.23,3.1803727,3.1803727
2610.5261,0.0,11477619.0,75.02843,"(0.27586165, 0.)",0.101539016,12.0,0,8.0,14.547656,2,141.43347,"(0.27586165, 0.)",0,5750.4717,0.3138394,0.3138394
415.95486,0.0,6190034.5,178.06131,"(0.9880143, 0.)",0.075015604,13.0,1,9.0,13.574421,3,116.623474,"(0.9880143, 0.)",0,6411.388,0.9705334,0.9705334
357.96896,0.0,11621349.0,72.74069,"(6.5191827, 0.)",0.078941345,15.0,0,10.0,-32.333042,2,141.27893,"(6.5191827, 0.)",0,-3020.7827,1.675899,1.675899
1496.2483,0.0,6763139.5,91.8635,"(1.0520805, 0.)",0.20649838,19.0,0,11.0,-0.08184317,2,134.67091,"(1.0520805, 0.)",0,2307.7,0.49720907,0.49720907
221.57649,0.0,6078085.0,74.39413,"(4.8081007, 0.)",0.09567648,20.0,1,12.0,-9.420356,1,53.555798,"(4.8081007, 0.)",0,4879.263,2.33746,2.33746
155.50682,0.0,5817322.0,52.050316,"(52.55475, 0.)",0.06700444,23.0,0,13.0,-25.221771,1,52.736866,"(52.55475, 0.)",0,598.09894,2.8827252,2.8827252
138.11775,0.0,10533743.0,45.420017,"(7.017069, 0.)",0.030555487,26.0,0,14.0,-2.8489704,1,80.68055,"(7.017069, 0.)",0,5814.7925,2.8143842,2.8143842
268.6233,0.0,8993534.0,120.74162,"(1.8951346, 0.)",0.04837942,26.0,0,15.0,13.597684,3,128.73837,"(1.8951346, 0.)",0,7681.846,1.4923471,1.4923471
182.78369,0.0,7094320.0,89.928375,"(17.935642, 0.)",0.06664759,27.0,0,16.0,-76.388725,1,24.666374,"(17.935642, 0.)",0,5257.959,5.612695,5.612695
153.96158,0.0,9641640.0,74.79259,"(7.652338, 0.)",0.042021573,29.0,0,17.0,-10.868978,2,147.61034,"(7.652338, 0.)",0,5792.1104,3.063054,3.063054
297.81274,0.0,5794601.0,170.29997,"(2.4326735, 0.)",0.07931644,29.0,1,18.0,2.2948496,3,110.40641,"(2.4326735, 0.)",0,4217.5254,1.3683488,1.3683488
206.333,0.0,7266621.0,159.82661,"(7.08828, 0.)",0.07824254,32.0,1,19.0,-14.451907,3,108.62024,"(7.08828, 0.)",0,4053.599,2.5211232,2.5211232
645.37573,0.0,12575154.0,73.766014,"(1.3800298, 0.)",0.18962187,36.0,1,20.0,11.986397,2,144.01698,"(1.3800298, 0.)",0,13698.587,1.5884697,1.5884697
235.67288,0.0,6394947.5,129.65211,"(33.552555, 0.)",0.0769636,36.0,0,21.0,-143.01039,3,117.06596,"(33.552555, 0.)",0,4112.004,7.4879055,7.4879055
1567.997,0.0,6170253.0,148.29901,"(0.30631965, 0.)",0.18828696,37.0,0,22.0,10.207646,3,120.962685,"(0.30631965, 0.)",0,4327.0425,0.3423943,0.3423943
167.07722,0.0,6661593.0,162.19836,"(26.633116, 0.)",0.0494166,43.0,0,23.0,-21.386765,3,117.010895,"(26.633116, 0.)",0,-870.53955,2.24942,2.24942
186.27676,0.0,7322382.0,156.18504,"(3.0920153, 0.)",0.052937806,46.0,0,24.0,6.593595,3,113.65888,"(3.0920153, 0.)",0,7300.2397,2.1409855,2.1409855
226.73901,0.0,9046615.0,74.088036,"(4.343827, 0.)",0.053045154,48.0,0,25.0,-1.2739054,2,140.18236,"(4.343827, 0.)",0,4928.216,1.9260249,1.9260249
176.35445,0.0,9179664.0,75.11348,"(20.104618, 0.)",0.06076038,49.0,0,26.0,-34.308964,1,30.031902,"(20.104618, 0.)",0,2513.589,3.3981133,3.3981133
550.9398,0.0,6321723.0,60.48719,"(1.44422, 0.)",0.10728663,52.0,1,27.0,4.004729,1,50.34804,"(1.44422, 0.)",0,4020.5125,0.9094329,0.9094329
238.95116,0.0,8570945.0,92.25985,"(7.8550196, 0.)",0.075743675,52.0,1,28.0,-14.449594,2,129.50874,"(7.8550196, 0.)",0,3310.4866,2.2325504,2.2325504
131.2478,0.0,7664705.0,108.51139,"(13.571108, 0.)",0.04026425,52.0,0,29.0,-37.697086,2,132.16206,"(13.571108, 0.)",0,6267.007,5.105876,5.105876
1346.7046,0.0,9039153.0,99.06036,"(0.11074004, 0.)",0.14398313,58.0,0,30.0,7.7935896,2,136.99715,"(0.11074004, 0.)",0,3403.2878,0.13027658,0.13027658
1000.55035,0.0,13089321.0,70.26356,"(0.900666, 0.)",0.16391557,61.0,1,31.0,14.175217,2,142.60359,"(0.900666, 0.)",0,9379.23,0.9161201,0.9161201
181.77402,0.0,12772553.0,74.249466,"(5.7785, 0.)",0.044908404,62.0,0,32.0,-6.606518,2,140.1746,"(5.7785, 0.)",0,9078.642,3.1206741,3.1206741
312.87088,0.0,8734288.0,74.42659,"(2.6321464, 0.)",0.05946356,65.0,0,33.0,3.6070638,2,144.40115,"(2.6321464, 0.)",0,4810.4443,1.3730956,1.3730956
151.59273,0.0,5404039.0,51.266724,"(13.864596, 0.)",0.07381141,71.0,0,34.0,-26.250109,1,68.85908,"(13.864596, 0.)",0,2700.7974,3.3200548,3.3200548
509.66272,0.0,10979423.0,78.79938,"(1.1517439, 0.)",0.0784713,71.0,1,35.0,17.124798,2,147.10735,"(1.1517439, 0.)",0,8812.068,1.0978299,1.0978299
3528.7847,0.0,5764677.0,149.71358,"(0.2888692, 0.)",0.2071284,71.0,0,36.0,8.397264,3,120.50618,"(0.2888692, 0.)",0,4426.6895,0.34195718,0.34195718
2174.8457,0.0,7320376.0,93.67564,"(0.24692582, 0.)",0.18225539,72.0,0,37.0,13.805407,2,143.86945,"(0.24692582, 0.)",0,5551.0576,0.33074218,0.33074218
188.2876,0.0,6618945.0,145.24785,"(4.585637, 0.)",0.062464297,73.0,0,38.0,-3.2667732,3,110.04517,"(4.585637, 0.)",0,5031.6655,2.2469463,2.2469463
146.7956,0.0,6898530.5,39.77975,"(15.032428, 0.)",0.05423248,76.0,0,39.0,-22.545341,1,67.694595,"(15.032428, 0.)",0,2642.4812,3.183423,3.183423
132.92981,0.0,7973115.0,66.65169,"(15.411015, 0.)",0.041930795,77.0,0,40.0,-28.807842,1,39.125755,"(15.411015, 0.)",0,3823.239,3.945345,3.945345
127.59672,0.0,7269128.5,120.41961,"(5.5290384, 0.)",0.037223577,79.0,0,41.0,-1.0806503,3,128.94951,"(5.5290384, 0.)",0,6289.0693,2.8627186,2.8627186
139.33128,0.0,6486372.5,123.298355,"(8.639415, 0.)",0.056323826,80.0,0,42.0,-22.751926,3,127.11495,"(8.639415, 0.)",0,6188.144,3.9610708,3.9610708
904.8965,0.0,7118983.0,26.49918,"(0.6305853, 0.)",0.1513933,86.0,1,43.0,13.396391,1,88.13976,"(0.6305853, 0.)",0,6751.876,0.71077067,0.71077067
145.99469,0.0,7758628.5,37.55825,"(15.212461, 0.)",0.04416418,90.0,0,44.0,-17.70498,1,96.01312,"(15.212461, 0.)",0,2365.996,2.8663783,2.8663783
178.45213,0.0,6145538.5,129.05367,"(11.247258, 0.)",0.08394575,96.0,0,45.0,-22.700775,3,116.879486,"(11.247258, 0.)",0,2936.2925,2.9252455,2.9252455
168.88516,0.0,10362106.0,81.89864,"(3.394343, 0.)",0.03347677,104.0,0,46.0,10.088882,2,134.08571,"(3.394343, 0.)",0,8090.3174,2.1732635,2.1732635
454.0078,0.0,13271642.0,73.148895,"(4.843413, 0.)",0.13787633,105.0,1,47.0,-19.605818,2,140.23932,"(4.843413, 0.)",0,5617.2183,1.988799,1.988799
2111.3367,0.0,7229551.0,172.13608,"(0.29278022, 0.)",0.16288006,106.0,0,48.0,12.532447,3,104.42946,"(0.29278022, 0.)",0,5351.91,0.36312017,0.36312017
3186.8303,0.0,6960780.0,87.331604,"(0.2670884, 0.)",0.18261033,109.0,0,49.0,12.513037,1,26.578182,"(0.2670884, 0.)",0,5711.7104,0.36122176,0.36122176
2128.0134,0.0,7250787.0,64.7964,"(0.17175785, 0.)",0.17853856,110.0,0,50.0,28.046057,2,169.38206,"(0.17175785, 0.)",0,9993.902,0.38546106,0.38546106
156.40453,0.0,7766525.5,153.86781,"(22.056217, 0.)",0.05413145,113.0,0,51.0,-56.405663,3,115.1172,"(22.056217, 0.)",0,3726.241,4.9687304,4.9687304
134.84044,0.0,5911174.0,66.18408,"(12.352013, 0.)",0.055431485,119.0,0,52.0,-34.798737,2,164.43465,"(12.352013, 0.)",0,4976.212,4.483849,4.483849
558.3276,0.0,9482703.0,60.8513,"(1.062994, 0.)",0.07195634,121.0,0,53.0,12.602963,1,64.37194,"(1.062994, 0.)",0,6360.214,0.87928313,0.87928313
123.55918,0.0,12764287.0,75.90853,"(0., 21.573277)",0.023433387,127.0,0,54.0,-24.480003,2,140.18011,"(0., 21.573277)",0,3107.6267,-3.6758194,-3.6758194
172.33473,0.0,8774912.0,102.79605,"(23.972168, 0.)",0.05041325,130.0,0,55.0,-21.817696,2,129.94408,"(23.972168, 0.)",0,1441.1079,2.676961,2.676961
