amp,ang,chi_squares,col,colCI,err,frame,goodfit,molid,offset,roinum,row,rowCI,states,sum,widthc,widthr
223.80794,0.0,10885712.0,89.35697,"(3.7506826, 0.)",0.043795824,2.0,0,1.0,3.8004153,2,91.71033,"(3.7506826, 0.)",0,6204.0923,1.914354,1.914354
1209.0896,0.0,11541275.0,110.431625,"(0.39018655, 0.)",0.07691157,4.0,0,2.0,21.234386,1,73.19986,"(0.39018655, 0.)",0,7942.823,0.489587,0.489587
157.95268,0.0,12130075.0,90.15855,"(8.696529, 0.)",0.04120916,8.0,0,3.0,-23.780285,1,68.185425,"(8.696529, 0.)",0,9210.067,4.2095532,4.2095532
311.31198,0.0,11969487.0,93.34841,"(2.9615736, 0.)",0.08605552,9.0,1,4.0,2.6334755,1,69.462685,"(2.9615736, 0.)",0,9788.865,2.1474605,2.1474605
240.59534,0.0,12216113.0,96.51336,"(3.34335, 0.)",0.051141024,11.0,0,5.0,6.2162557,1,69.88962,"(3.34335, 0.)",0,8593.995,2.1202564,2.1202564
3239.6968,0.0,11609762.0,94.84614,"(0.8176922, 0.)",0.16758633,12.0,0,6.0,0.09458995,1,71.55834,"(0.8176922, 0.)",0,2260.4219,0.34621617,0.34621617
120.67226,0.0,11807944.0,65.94539,"(4.566273, 0.)",0.023233652,13.0,0,7.0,14.684755,2,92.52026,"(4.566273, 0.)",0,11174.744,3.1447806,3.1447806
138.46782,0.0,10051884.0,128.2897,"(10.033074, 0.)",0.037172437,16.0,0,8.0,-23.519896,1,45.822365,"(10.033074, 0.)",0,7220.278,4.191418,4.191418
200.6152,0.0,13762824.0,107.989914,"(8.205596, 0.)",0.051515818,18.0,0,9.0,-20.725101,1,58.866158,"(8.205596, 0.)",0,6991.2427,3.2309158,3.2309158
160.18481,0.0,11236019.0,127.9904,"(6.583827, 0.)",0.043581724,27.0,0,10.0,-13.384925,1,39.47224,"(6.583827, 0.)",0,10342.632,3.8754218,3.8754218
214.25363,0.0,10566998.0,129.5199,"(1.4224004, 0.)",0.045573056,28.0,0,11.0,35.99246,1,43.85701,"(1.4224004, 0.)",0,14827.9375,1.8107424,1.8107424
412.4943,0.0,15866359.0,107.52613,"(38.533222, 0.)",0.05168718,33.0,0,12.0,-289.85797,1,63.31024,"(38.533222, 0.)",0,7911.989,9.38373,9.38373
122.68044,0.0,12047342.0,78.93999,"(0., 5.733866)",0.023529232,34.0,0,13.0,5.0357575,2,88.148026,"(0., 5.733866)",0,10285.428,-3.4404058,-3.4404058
346.4241,0.0,11339068.0,109.081116,"(12.42287, 0.)",0.12992102,35.0,0,14.0,-36.209534,1,63.315857,"(12.42287, 0.)",0,2802.001,2.4701347,2.4701347
137.52219,0.0,14960734.0,113.651665,"(17.649313, 0.)",0.023305535,38.0,0,15.0,-39.898327,1,59.494522,"(17.649313, 0.)",0,10508.077,6.8701997,6.8701997
2522.2234,0.0,9096526.0,120.53463,"(0.34097776, 0.)",0.17635643,39.0,0,16.0,10.610476,1,69.95089,"(0.34097776, 0.)",0,5100.6772,0.36059,0.36059
1699.5203,0.0,10228259.0,105.167336,"(0.42911506, 0.)",0.19272864,42.0,0,17.0,14.617417,1,71.2232,"(0.42911506, 0.)",0,6828.385,0.49099636,0.49099636
237.93063,0.0,14075048.0,110.13836,"(1.3270141, 0.)",0.034150958,44.0,0,18.0,46.28086,1,58.571587,"(1.3270141, 0.)",0,18242.295,1.8040975,1.8040975
549.083,0.0,13185484.0,106.419556,"(0.5730942, 0.)",0.07288915,45.0,0,19.0,50.906498,1,54.444103,"(0.5730942, 0.)",0,18664.61,1.0696063,1.0696063
174.64522,0.0,17039930.0,116.58398,"(3.3463972, 0.)",0.036967695,45.0,0,20.0,33.776016,1,63.597725,"(3.3463972, 0.)",0,21570.098,3.5068033,3.5068033
362.2735,0.0,8858784.0,149.61197,"(2.3578851, 0.)",0.097916186,46.0,1,21.0,3.2907043,1,38.88543,"(2.3578851, 0.)",0,6934.057,1.6205416,1.6205416
300.60806,0.0,8797462.0,56.258835,"(5.181294, 0.)",0.06729549,52.0,0,22.0,-5.8234353,2,98.37993,"(5.181294, 0.)",0,2996.1177,1.5691437,1.5691437
121.85072,0.0,13572074.0,103.76247,"(5.936023, 0.)",0.019155681,56.0,0,23.0,6.1411934,1,62.15483,"(5.936023, 0.)",0,8667.765,3.0188189,3.0188189
1060.9027,0.0,8004781.0,58.14456,"(0.635342, 0.)",0.1488685,57.0,0,24.0,11.091213,2,110.152016,"(0.635342, 0.)",0,5744.9307,0.61683804,0.61683804
149.87598,0.0,10711338.0,95.48594,"(10.237065, 0.)",0.037967265,58.0,0,25.0,-30.593145,2,92.23182,"(10.237065, 0.)",0,8192.155,4.524314,4.524314
232.60847,0.0,12708857.0,82.78258,"(2.52679, 0.)",0.040602922,63.0,0,26.0,16.117342,1,77.77347,"(2.52679, 0.)",0,10184.991,1.9443038,1.9443038
81.586235,0.0,12353160.0,91.319305,"(12.432863, 0.)",0.020986676,66.0,0,27.0,-6.777202,2,96.96771,"(12.432863, 0.)",0,8530.938,5.0455074,5.0455074
345.29947,0.0,14385894.0,98.02869,"(2.1080005, 0.)",0.077644706,67.0,1,28.0,16.704283,1,61.59206,"(2.1080005, 0.)",0,13257.195,1.9709755,1.9709755
417.43588,0.0,9945566.0,101.15216,"(2.0651565, 0.)",0.10085851,68.0,1,29.0,5.4218283,1,64.29376,"(2.0651565, 0.)",0,7487.248,1.5022817,1.5022817
214.88234,0.0,12151452.0,129.86168,"(8.317024, 0.)",0.05524224,73.0,0,30.0,-16.08658,1,36.80401,"(8.317024, 0.)",0,4817.6426,2.6512105,2.6512105
810.05676,0.0,16685962.0,114.64402,"(88.60022, 0.)",0.039842665,75.0,0,31.0,-705.0841,1,67.17533,"(88.60022, 0.)",0,11762.168,20.938812,20.938812
279.20908,0.0,12901139.0,107.992,"(30.123245, 0.)",0.05874008,78.0,0,32.0,-157.09966,1,64.651054,"(30.123245, 0.)",0,5770.66,6.9129357,6.9129357
215.45023,0.0,14214978.0,117.02288,"(1.7084552, 0.)",0.037890196,82.0,0,33.0,43.75662,1,65.535934,"(1.7084552, 0.)",0,19215.684,2.2030947,2.2030947
2483.9685,0.0,7024687.0,50.256336,"(0.2794036, 0.)",0.3096605,83.0,0,34.0,10.002568,2,105.88832,"(0.2794036, 0.)",0,4937.0186,0.33674663,0.33674663
2278.8528,0.0,14734962.0,114.84537,"(0.16722034, 0.)",0.12603998,84.0,0,35.0,38.806087,1,63.68486,"(0.16722034, 0.)",0,13091.84,0.35791638,0.35791638
1414.0433,0.0,13316876.0,108.80951,"(0.28681868, 0.)",0.07976866,85.0,0,36.0,20.481361,1,74.18968,"(0.28681868, 0.)",0,7183.3984,0.3555449,0.3555449
433.30157,0.0,12553676.0,109.064064,"(1.1576604, 0.)",0.044400513,86.0,0,37.0,19.159662,1,69.54137,"(1.1576604, 0.)",0,8352.441,1.016514,1.016514
158.66711,0.0,13121930.0,106.06114,"(7.9851537, 0.)",0.030599296,87.0,0,38.0,-25.491383,1,59.647083,"(7.9851537, 0.)",0,15453.745,5.47011,5.47011
158.44653,0.0,11109104.0,84.85867,"(26.241377, 0.)",0.042449117,88.0,0,39.0,-40.43436,2,93.35563,"(26.241377, 0.)",0,2613.4512,3.908662,3.908662
438.29803,0.0,12415476.0,110.63293,"(50.361492, 0.)",0.058799744,88.0,0,40.0,-328.01886,1,61.111267,"(50.361492, 0.)",0,5954.024,10.070994,10.070994
