FRAME_N,LOC_R,LOC_C,TRACK_N,ROI_NUM,MOL_ID
151.0,45.680294036865234,69.19100189208984,1.0,1.0,48.0
152.0,50.89830017089844,71.16241455078125,1.0,1.0,49.0
155.0,51.372161865234375,79.47882843017578,1.0,1.0,51.0
156.0,48.02336502075195,82.59796142578125,1.0,1.0,53.0
156.0,39.37895965576172,66.37702941894531,2.0,1.0,52.0
157.0,40.70611572265625,67.21540832519531,2.0,1.0,54.0
158.0,39.5079345703125,67.71046447753906,2.0,1.0,56.0
159.0,40.8389892578125,68.67630767822266,2.0,1.0,57.0
163.0,38.351402282714844,69.70484161376953,2.0,1.0,61.0
163.0,64.45187377929688,90.24640655517578,3.0,1.0,62.0
164.0,65.02485656738281,88.96440887451172,3.0,1.0,64.0
165.0,63.87033462524414,88.72447967529297,3.0,1.0,65.0
166.0,63.40933609008789,87.82762145996094,3.0,1.0,66.0
167.0,61.69034194946289,87.58956909179688,3.0,1.0,68.0
168.0,38.00541687011719,69.21382141113281,4.0,1.0,69.0
169.0,38.61054229736328,68.4439697265625,4.0,1.0,71.0
170.0,38.86640548706055,68.45623779296875,4.0,1.0,74.0
171.0,39.243316650390625,68.02302551269531,4.0,1.0,76.0
172.0,40.997802734375,68.14207458496094,4.0,1.0,79.0
169.0,63.176422119140625,85.42831420898438,5.0,1.0,72.0
170.0,63.40925216674805,88.46574401855469,5.0,1.0,75.0
171.0,62.81393814086914,87.4832992553711,5.0,1.0,77.0
172.0,64.231689453125,85.81958770751953,5.0,1.0,80.0
173.0,63.46073913574219,86.88336944580078,5.0,1.0,81.0
174.0,62.852333068847656,86.16419982910156,5.0,1.0,83.0
175.0,61.49633026123047,86.97283172607422,5.0,1.0,86.0
176.0,61.607276916503906,87.46199035644531,5.0,1.0,89.0
177.0,61.577823638916016,88.74396514892578,5.0,1.0,92.0
178.0,62.3497200012207,88.7562484741211,5.0,1.0,96.0
179.0,62.143646240234375,89.79288482666016,5.0,1.0,100.0
180.0,61.547367095947266,91.61490631103516,5.0,1.0,103.0
181.0,61.06733703613281,91.04642486572266,5.0,1.0,105.0
182.0,61.31964111328125,87.6645736694336,5.0,1.0,108.0
183.0,61.786720275878906,87.86101531982422,5.0,1.0,111.0
184.0,62.4871826171875,88.75202178955078,5.0,1.0,113.0
185.0,63.10115051269531,89.29913330078125,5.0,1.0,115.0
186.0,63.043766021728516,90.31155395507812,5.0,1.0,117.0
187.0,64.96981811523438,90.26152038574219,5.0,1.0,121.0
188.0,64.4388198852539,90.5383529663086,5.0,1.0,123.0
189.0,64.74154663085938,89.58616638183594,5.0,1.0,126.0
190.0,66.48577880859375,89.22061157226562,5.0,1.0,128.0
191.0,65.09475708007812,89.06594848632812,5.0,1.0,130.0
192.0,65.03081512451172,90.06854248046875,5.0,1.0,132.0
193.0,65.67377471923828,90.10783386230469,5.0,1.0,135.0
194.0,64.65156555175781,89.72737884521484,5.0,1.0,137.0
195.0,64.6473617553711,90.33728790283203,5.0,1.0,139.0
196.0,63.743621826171875,90.92623138427734,5.0,1.0,141.0
197.0,64.44490814208984,90.80361938476562,5.0,1.0,143.0
198.0,63.08622741699219,90.35494232177734,5.0,1.0,146.0
199.0,63.725772857666016,90.09166717529297,5.0,1.0,149.0
200.0,64.48334503173828,89.48858642578125,5.0,1.0,151.0
201.0,64.4675064086914,89.46800231933594,5.0,1.0,154.0
202.0,63.93037414550781,90.56745147705078,5.0,1.0,156.0
203.0,63.09113311767578,89.6617431640625,5.0,1.0,158.0
204.0,63.83085632324219,88.65013122558594,5.0,1.0,161.0
177.0,37.8369255065918,73.9368896484375,6.0,1.0,90.0
178.0,39.94855499267578,68.50479125976562,6.0,1.0,93.0
179.0,38.30601501464844,68.53838348388672,6.0,1.0,97.0
181.0,40.03812026977539,69.51251220703125,6.0,1.0,104.0
182.0,39.53252410888672,69.47138214111328,6.0,1.0,106.0
184.0,40.0777587890625,68.91011810302734,7.0,1.0,112.0
185.0,41.20613098144531,69.5542984008789,7.0,1.0,114.0
186.0,41.50278854370117,69.29252624511719,7.0,1.0,116.0
