FRAME_N,LOC_R,LOC_C,TRACK_N,ROI_NUM,MOL_ID
161.0,46.65892028808594,93.59573364257812,1.0,1.0,22.0
162.0,46.182762145996094,92.37641143798828,1.0,1.0,23.0
163.0,46.402587890625,91.50911712646484,1.0,1.0,24.0
164.0,44.48089599609375,90.16401672363281,1.0,1.0,25.0
165.0,46.122840881347656,90.54988861083984,1.0,1.0,26.0
166.0,46.711483001708984,90.72500610351562,1.0,1.0,27.0
167.0,45.389076232910156,93.771240234375,1.0,1.0,28.0
168.0,45.91313171386719,91.18705749511719,1.0,1.0,29.0
169.0,45.38150405883789,92.77708435058594,1.0,1.0,30.0
175.0,45.092796325683594,92.76611328125,2.0,1.0,32.0
176.0,44.80451202392578,94.02155303955078,2.0,1.0,34.0
177.0,41.56904602050781,93.0972671508789,2.0,1.0,36.0
178.0,40.0524787902832,93.2546615600586,2.0,1.0,37.0
179.0,39.73092269897461,94.67552185058594,2.0,1.0,39.0
180.0,38.59917449951172,94.22400665283203,2.0,1.0,41.0
181.0,39.03215026855469,90.11305236816406,2.0,1.0,43.0
182.0,39.027061462402344,91.16326904296875,2.0,1.0,44.0
183.0,39.186683654785156,89.73258209228516,2.0,1.0,45.0
184.0,39.428306579589844,89.9917221069336,2.0,1.0,46.0
185.0,38.88542938232422,90.70162200927734,2.0,1.0,47.0
186.0,38.61402893066406,90.49249267578125,2.0,1.0,48.0
187.0,39.119964599609375,89.80545806884766,2.0,1.0,49.0
188.0,38.8128662109375,90.23129272460938,2.0,1.0,50.0
189.0,39.658180236816406,91.6743392944336,2.0,1.0,51.0
190.0,42.08002853393555,90.89229583740234,2.0,1.0,52.0
192.0,45.54387283325195,92.12499237060547,2.0,1.0,53.0
196.0,40.90939712524414,95.52509307861328,3.0,1.0,57.0
197.0,40.721336364746094,94.1391372680664,3.0,1.0,58.0
198.0,36.69740676879883,94.02607727050781,3.0,1.0,59.0
200.0,34.32768249511719,95.3103256225586,3.0,1.0,61.0
201.0,36.72354507446289,90.63411712646484,3.0,1.0,62.0
202.0,36.107051849365234,90.72423553466797,3.0,1.0,64.0
203.0,33.80890655517578,88.04270935058594,3.0,1.0,65.0
204.0,30.151222229003906,89.28402709960938,3.0,1.0,66.0
205.0,30.283592224121094,88.06935119628906,3.0,1.0,67.0
215.0,30.299850463867188,87.19076538085938,4.0,1.0,76.0
216.0,29.78287124633789,88.09886932373047,4.0,1.0,78.0
217.0,27.90250587463379,89.89580535888672,4.0,1.0,81.0
218.0,30.59371566772461,88.69390106201172,4.0,1.0,83.0
219.0,30.24169158935547,88.46682739257812,4.0,1.0,87.0
220.0,30.207183837890625,88.42889404296875,4.0,1.0,91.0
221.0,30.653362274169922,88.53660583496094,4.0,1.0,94.0
222.0,30.206005096435547,91.41431427001953,4.0,1.0,96.0
217.0,79.60302734375,25.98592758178711,5.0,2.0,80.0
218.0,81.01607513427734,25.508739471435547,5.0,2.0,82.0
219.0,87.90729522705078,25.8179874420166,5.0,2.0,86.0
220.0,86.05835723876953,27.080753326416016,5.0,2.0,90.0
221.0,84.77090454101562,28.454011917114258,5.0,2.0,93.0
227.0,30.369152069091797,90.58150482177734,6.0,1.0,103.0
228.0,30.55046844482422,90.45176696777344,6.0,1.0,105.0
229.0,33.56263732910156,89.94696044921875,6.0,1.0,106.0
233.0,32.12578201293945,88.22835540771484,6.0,1.0,110.0
236.0,33.107208251953125,92.56501770019531,6.0,1.0,112.0
237.0,34.05596923828125,96.87583923339844,6.0,1.0,113.0
240.0,31.265045166015625,99.56768035888672,7.0,1.0,118.0
241.0,31.75626564025879,97.05682373046875,7.0,1.0,119.0
245.0,32.81211853027344,96.96536254882812,7.0,1.0,125.0
287.0,95.76551818847656,24.851810455322266,8.0,2.0,146.0
291.0,95.01797485351562,27.125606536865234,8.0,2.0,148.0
292.0,95.27157592773438,25.308425903320312,8.0,2.0,149.0
293.0,93.25725555419922,28.47220230102539,8.0,2.0,150.0
294.0,95.6019515991211,26.77716064453125,8.0,2.0,151.0
295.0,97.11865234375,25.70697784423828,8.0,2.0,152.0
466.0,62.58668899536133,94.78157806396484,9.0,1.0,198.0
468.0,62.24226760864258,94.77455139160156,9.0,1.0,200.0
471.0,68.9840087890625,96.29551696777344,9.0,1.0,202.0
472.0,76.40650939941406,96.7107162475586,9.0,1.0,203.0
486.0,76.66838073730469,96.47785949707031,10.0,1.0,218.0
488.0,78.33753204345703,99.10844421386719,10.0,1.0,219.0
491.0,74.7916488647461,92.61368560791016,10.0,1.0,221.0
687.0,91.23893737792969,104.41609191894531,11.0,1.0,314.0
688.0,91.03712463378906,103.88616180419922,11.0,1.0,315.0
689.0,87.63809967041016,105.37418365478516,11.0,1.0,316.0
690.0,87.92205810546875,105.34487915039062,11.0,1.0,317.0
691.0,86.9547119140625,105.27223205566406,11.0,1.0,318.0
692.0,85.35240173339844,105.48721313476562,11.0,1.0,319.0
693.0,80.16436004638672,105.37574768066406,11.0,1.0,320.0
694.0,76.86865234375,105.37040710449219,11.0,1.0,321.0
695.0,73.87952423095703,102.90089416503906,11.0,1.0,322.0
696.0,77.59561157226562,102.4552230834961,11.0,1.0,323.0
697.0,78.1543197631836,102.78089904785156,11.0,1.0,325.0
698.0,79.34896850585938,97.6355209350586,11.0,1.0,327.0
699.0,75.05968475341797,93.85965728759766,11.0,1.0,330.0
700.0,73.12400817871094,95.75531768798828,11.0,1.0,332.0
701.0,74.63658142089844,97.85147094726562,11.0,1.0,335.0
702.0,76.59027862548828,100.37442779541016,11.0,1.0,337.0
703.0,74.92371368408203,99.31294250488281,11.0,1.0,338.0
704.0,76.59226989746094,98.80711364746094,11.0,1.0,339.0
705.0,75.74494171142578,98.6169204711914,11.0,1.0,340.0
707.0,78.93099212646484,97.75019836425781,11.0,1.0,342.0
708.0,78.39076232910156,96.34652709960938,11.0,1.0,343.0
709.0,73.73884582519531,94.79264831542969,11.0,1.0,344.0
710.0,70.75292205810547,99.08120727539062,11.0,1.0,346.0
711.0,72.1527099609375,100.04320526123047,11.0,1.0,347.0
697.0,124.7802505493164,31.62057876586914,12.0,2.0,324.0
698.0,124.72492980957031,32.93065643310547,12.0,2.0,326.0
699.0,126.8617172241211,32.01010513305664,12.0,2.0,328.0
700.0,126.28407287597656,33.59855651855469,12.0,2.0,331.0
701.0,126.28450775146484,32.884952545166016,12.0,2.0,334.0
702.0,127.04594421386719,32.98067855834961,12.0,2.0,336.0
886.0,134.19119262695312,37.141021728515625,13.0,2.0,363.0
887.0,133.7725372314453,38.65694808959961,13.0,2.0,365.0
888.0,136.0001220703125,38.83270263671875,13.0,2.0,367.0
890.0,135.4674072265625,37.25366973876953,13.0,2.0,370.0
990.0,87.80003356933594,26.31548309326172,14.0,2.0,418.0
993.0,91.85881042480469,29.77303695678711,14.0,2.0,419.0
995.0,89.28250885009766,30.887962341308594,14.0,2.0,423.0
996.0,88.83287048339844,33.074493408203125,14.0,2.0,425.0
996.0,146.1165771484375,33.70259094238281,15.0,2.0,426.0
997.0,144.8242645263672,33.936119079589844,15.0,2.0,428.0
998.0,145.39447021484375,36.6990966796875,15.0,2.0,430.0
999.0,146.57032775878906,35.582820892333984,15.0,2.0,432.0
1000.0,147.8688507080078,35.14805603027344,15.0,2.0,434.0
1001.0,146.49267578125,37.72053527832031,15.0,2.0,436.0
1002.0,147.55145263671875,36.107322692871094,15.0,2.0,438.0
1003.0,147.43972778320312,37.25209045410156,15.0,2.0,439.0
1004.0,148.71656799316406,36.60064697265625,15.0,2.0,440.0
1015.0,146.05140686035156,34.71398162841797,16.0,2.0,450.0
1020.0,145.32167053222656,33.38203048706055,16.0,2.0,452.0
1022.0,145.27694702148438,34.065956115722656,16.0,2.0,453.0
1023.0,146.9093017578125,32.85098648071289,16.0,2.0,454.0
1024.0,146.5136260986328,33.89445495605469,16.0,2.0,455.0
1025.0,147.1356964111328,33.906150817871094,16.0,2.0,456.0
1027.0,147.05079650878906,34.765132904052734,16.0,2.0,457.0
1028.0,147.58590698242188,33.103904724121094,16.0,2.0,458.0
1044.0,101.68001556396484,34.535892486572266,17.0,2.0,474.0
1045.0,104.11715698242188,30.098291397094727,17.0,2.0,475.0
