FRAME_N,LOC_R,LOC_C,TRACK_N,ROI_NUM,MOL_ID
261.0,97.74803161621094,119.83221435546875,1.0,1.0,52.0
262.0,97.42990112304688,116.48334503173828,1.0,1.0,53.0
263.0,98.95832824707031,117.38032531738281,1.0,1.0,55.0
264.0,101.66555786132812,115.32383728027344,1.0,1.0,57.0
265.0,97.84945678710938,112.57989501953125,1.0,1.0,58.0
266.0,96.59893035888672,110.87519836425781,1.0,1.0,59.0
267.0,98.20491790771484,111.37117004394531,1.0,1.0,61.0
269.0,93.9439697265625,114.64164733886719,1.0,1.0,63.0
270.0,94.34040832519531,115.12701416015625,1.0,1.0,64.0
271.0,93.12110137939453,113.15648651123047,1.0,1.0,67.0
272.0,94.13416290283203,113.73577880859375,1.0,1.0,68.0
273.0,95.12562561035156,109.85704040527344,1.0,1.0,70.0
274.0,108.8333969116211,119.15442657470703,2.0,1.0,74.0
275.0,98.48200988769531,109.19882202148438,2.0,1.0,76.0
276.0,97.26921844482422,109.63739013671875,2.0,1.0,79.0
278.0,101.12944793701172,107.44823455810547,2.0,1.0,83.0
279.0,100.25910949707031,108.287841796875,2.0,1.0,85.0
280.0,99.99313354492188,108.59781646728516,2.0,1.0,87.0
281.0,102.58386993408203,107.86863708496094,2.0,1.0,90.0
282.0,101.81322479248047,107.41004180908203,2.0,1.0,92.0
284.0,80.49090576171875,43.27930450439453,3.0,2.0,95.0
285.0,81.58120727539062,42.83021926879883,3.0,2.0,98.0
286.0,80.87958526611328,42.486778259277344,3.0,2.0,102.0
289.0,81.61283874511719,41.117950439453125,3.0,2.0,106.0
305.0,76.33805847167969,90.19987487792969,4.0,1.0,116.0
307.0,72.51205444335938,90.53187561035156,4.0,1.0,117.0
309.0,68.037841796875,89.14433288574219,4.0,1.0,119.0
310.0,66.75546264648438,91.10967254638672,4.0,1.0,120.0
311.0,69.01660919189453,93.95362091064453,4.0,1.0,122.0
313.0,77.46312713623047,98.52447509765625,4.0,1.0,124.0
328.0,75.48333740234375,95.76753997802734,5.0,1.0,149.0
329.0,78.4872055053711,97.48501586914062,5.0,1.0,152.0
330.0,78.25586700439453,95.3606185913086,5.0,1.0,154.0
333.0,77.00241088867188,98.6285400390625,5.0,1.0,159.0
395.0,83.20198059082031,41.30340576171875,6.0,2.0,206.0
396.0,83.21707153320312,41.35451126098633,6.0,2.0,207.0
