FRAME_N,LOC_R,LOC_C,TRACK_N,ROI_NUM,MOL_ID
1.0,38.55397033691406,136.68495178222656,1.0,1.0,1.0
2.0,39.300228118896484,137.23744201660156,1.0,1.0,2.0
3.0,39.553443908691406,137.3713836669922,1.0,1.0,3.0
4.0,40.725921630859375,139.14810180664062,1.0,1.0,4.0
5.0,40.42613983154297,137.39541625976562,1.0,1.0,5.0
6.0,40.307552337646484,137.26611328125,1.0,1.0,6.0
7.0,39.46469497680664,138.63796997070312,1.0,1.0,7.0
8.0,39.0343017578125,137.13706970214844,1.0,1.0,8.0
9.0,37.992374420166016,138.3205108642578,1.0,1.0,9.0
10.0,38.886192321777344,138.3633270263672,1.0,1.0,10.0
11.0,39.30680847167969,137.70909118652344,1.0,1.0,11.0
12.0,39.704734802246094,137.97097778320312,1.0,1.0,12.0
13.0,39.46762466430664,138.14332580566406,1.0,1.0,14.0
14.0,41.1562385559082,136.24705505371094,1.0,1.0,15.0
15.0,42.71138381958008,137.77316284179688,1.0,1.0,16.0
16.0,42.35829544067383,138.48312377929688,1.0,1.0,17.0
17.0,43.007450103759766,138.7130889892578,1.0,1.0,19.0
18.0,42.71379852294922,140.24974060058594,1.0,1.0,21.0
19.0,43.00025939941406,139.59649658203125,1.0,1.0,22.0
20.0,42.864261627197266,139.31658935546875,1.0,1.0,23.0
21.0,41.737342834472656,140.0081024169922,1.0,1.0,24.0
22.0,41.95028305053711,139.2047882080078,1.0,1.0,25.0
23.0,41.418540954589844,139.9513397216797,1.0,1.0,26.0
24.0,41.88524627685547,138.37709045410156,1.0,1.0,27.0
25.0,41.97682189941406,137.782470703125,1.0,1.0,28.0
26.0,40.40287780761719,138.4080810546875,1.0,1.0,29.0
27.0,39.655982971191406,138.50897216796875,1.0,1.0,30.0
28.0,41.12318420410156,139.41493225097656,1.0,1.0,31.0
29.0,41.13611602783203,138.73226928710938,1.0,1.0,32.0
30.0,42.82391357421875,137.69393920898438,1.0,1.0,33.0
31.0,42.68497085571289,136.61367797851562,1.0,1.0,34.0
32.0,41.891395568847656,138.46405029296875,1.0,1.0,35.0
33.0,42.911720275878906,137.76905822753906,1.0,1.0,36.0
34.0,43.282615661621094,139.52792358398438,1.0,1.0,37.0
35.0,42.91245651245117,137.13282775878906,1.0,1.0,38.0
36.0,42.2352294921875,137.2115478515625,1.0,1.0,39.0
37.0,42.66938781738281,137.6106414794922,1.0,1.0,41.0
38.0,42.9522819519043,137.9747314453125,1.0,1.0,42.0
39.0,41.902320861816406,137.66737365722656,1.0,1.0,43.0
40.0,40.618980407714844,138.916015625,1.0,1.0,44.0
41.0,42.390113830566406,139.10348510742188,1.0,1.0,45.0
42.0,42.04483413696289,138.55575561523438,1.0,1.0,46.0
43.0,42.127864837646484,139.28848266601562,1.0,1.0,47.0
44.0,41.89372253417969,138.7698211669922,1.0,1.0,49.0
45.0,41.78487014770508,139.40016174316406,1.0,1.0,50.0
46.0,40.54786682128906,139.4295654296875,1.0,1.0,51.0
47.0,40.46320343017578,137.58595275878906,1.0,1.0,52.0
48.0,41.232391357421875,138.0016632080078,1.0,1.0,53.0
49.0,41.70332717895508,137.6551513671875,1.0,1.0,54.0
50.0,41.20472717285156,137.10888671875,1.0,1.0,55.0
51.0,42.97478485107422,137.23141479492188,1.0,1.0,56.0
52.0,44.01588821411133,136.92198181152344,1.0,1.0,57.0
53.0,43.35407257080078,137.27447509765625,1.0,1.0,58.0
54.0,44.02294158935547,137.55917358398438,1.0,1.0,59.0
55.0,43.60285186767578,138.70263671875,1.0,1.0,60.0
56.0,41.67001724243164,137.9091033935547,1.0,1.0,61.0
57.0,42.12552261352539,138.22503662109375,1.0,1.0,63.0
58.0,42.5927734375,137.81700134277344,1.0,1.0,64.0
59.0,41.7490234375,137.8382110595703,1.0,1.0,65.0
60.0,40.61368942260742,137.17245483398438,1.0,1.0,66.0
61.0,41.42021560668945,136.67462158203125,1.0,1.0,67.0
62.0,41.2374267578125,136.6139373779297,1.0,1.0,68.0
63.0,41.92121887207031,137.49072265625,1.0,1.0,70.0
64.0,43.46200942993164,137.78041076660156,1.0,1.0,71.0
65.0,41.76649475097656,137.9204559326172,1.0,1.0,72.0
66.0,42.118045806884766,137.21292114257812,1.0,1.0,73.0
67.0,41.891658782958984,137.7643280029297,1.0,1.0,75.0
68.0,42.114261627197266,138.0189971923828,1.0,1.0,77.0
69.0,42.376495361328125,137.6739501953125,1.0,1.0,78.0
