FRAME_N,LOC_R,LOC_C,TRACK_N,ROI_NUM,MOL_ID
170.0,55.202903747558594,171.62840270996094,1.0,2.0,18.0
171.0,56.17425537109375,171.44515991210938,1.0,2.0,19.0
172.0,62.49481964111328,169.34153747558594,1.0,2.0,20.0
173.0,63.50611114501953,164.17381286621094,1.0,2.0,21.0
174.0,64.4901351928711,168.00860595703125,1.0,2.0,22.0
175.0,63.589176177978516,169.30795288085938,1.0,2.0,23.0
176.0,55.05160903930664,168.2574920654297,1.0,2.0,24.0
177.0,58.07283401489258,166.51242065429688,1.0,2.0,25.0
178.0,52.8931999206543,162.36093139648438,1.0,2.0,26.0
179.0,52.8990592956543,163.5336151123047,1.0,2.0,27.0
180.0,54.56065368652344,162.65261840820312,1.0,2.0,28.0
182.0,50.642059326171875,164.64898681640625,1.0,2.0,29.0
183.0,51.00090789794922,165.88510131835938,1.0,2.0,30.0
184.0,53.70769119262695,164.7359619140625,1.0,2.0,31.0
185.0,58.09412384033203,163.2327117919922,1.0,2.0,32.0
186.0,57.99234390258789,164.38360595703125,1.0,2.0,34.0
187.0,60.06271743774414,163.55844116210938,1.0,2.0,35.0
188.0,55.81693649291992,161.88729858398438,1.0,2.0,36.0
189.0,55.90504837036133,160.90248107910156,1.0,2.0,37.0
190.0,57.319278717041016,161.77162170410156,1.0,2.0,38.0
191.0,57.57039260864258,161.91107177734375,1.0,2.0,40.0
192.0,50.49095153808594,167.7808837890625,1.0,2.0,41.0
193.0,50.64350891113281,167.2271728515625,1.0,2.0,42.0
194.0,53.28276062011719,165.14830017089844,1.0,2.0,44.0
195.0,54.79734420776367,162.8594207763672,1.0,2.0,45.0
196.0,54.57260513305664,165.13320922851562,1.0,2.0,47.0
197.0,62.321189880371094,167.37791442871094,1.0,2.0,48.0
198.0,57.8632926940918,164.04286193847656,1.0,2.0,51.0
199.0,55.37696838378906,165.73773193359375,1.0,2.0,53.0
215.0,47.104942321777344,100.49064636230469,2.0,1.0,60.0
218.0,46.12758255004883,101.43576049804688,2.0,1.0,63.0
221.0,48.70501708984375,98.77671813964844,2.0,1.0,65.0
222.0,48.73468017578125,98.10877990722656,2.0,1.0,66.0
287.0,53.07980728149414,164.9995880126953,3.0,2.0,74.0
288.0,53.61640930175781,164.4253387451172,3.0,2.0,76.0
289.0,52.64097213745117,162.80062866210938,3.0,2.0,78.0
290.0,52.94620132446289,163.59510803222656,3.0,2.0,79.0
291.0,50.83087158203125,162.41888427734375,3.0,2.0,80.0
292.0,53.07179260253906,164.55096435546875,3.0,2.0,82.0
293.0,53.71996307373047,163.53736877441406,3.0,2.0,83.0
294.0,54.02244567871094,162.50775146484375,3.0,2.0,86.0
295.0,53.21955108642578,163.86627197265625,3.0,2.0,89.0
296.0,54.2558479309082,164.8984375,3.0,2.0,91.0
294.0,47.803199768066406,88.66560363769531,4.0,1.0,85.0
295.0,43.57123947143555,87.73237609863281,4.0,1.0,88.0
296.0,46.075584411621094,84.6155014038086,4.0,1.0,90.0
297.0,43.18842315673828,81.76567840576172,4.0,1.0,93.0
298.0,43.39544677734375,81.1072998046875,4.0,1.0,95.0
299.0,46.47026443481445,88.8741455078125,4.0,1.0,99.0
300.0,44.9672737121582,89.18240356445312,4.0,1.0,101.0
301.0,43.516639709472656,89.4101791381836,4.0,1.0,104.0
302.0,44.00508117675781,88.8362045288086,4.0,1.0,107.0
303.0,40.20582580566406,87.10808563232422,4.0,1.0,109.0
304.0,42.46937942504883,83.52107238769531,4.0,1.0,111.0
305.0,44.19496154785156,83.14966583251953,4.0,1.0,113.0
306.0,43.11097717285156,82.82591247558594,4.0,1.0,115.0
298.0,53.00402069091797,162.9004364013672,5.0,2.0,96.0
299.0,52.251808166503906,163.43374633789062,5.0,2.0,100.0
300.0,53.063934326171875,161.9767303466797,5.0,2.0,102.0
301.0,54.08237075805664,162.47071838378906,5.0,2.0,105.0
302.0,54.50664138793945,162.502685546875,5.0,2.0,108.0
303.0,53.740394592285156,164.96836853027344,5.0,2.0,110.0
304.0,55.34429168701172,164.58694458007812,5.0,2.0,112.0
305.0,55.14967346191406,164.9349365234375,5.0,2.0,114.0
307.0,53.740745544433594,163.02084350585938,6.0,2.0,117.0
308.0,54.76460647583008,165.5038604736328,6.0,2.0,119.0
309.0,54.87607192993164,165.9248504638672,6.0,2.0,121.0
310.0,53.857025146484375,165.73838806152344,6.0,2.0,123.0
311.0,54.317691802978516,164.97296142578125,6.0,2.0,126.0
312.0,55.34059143066406,165.5808868408203,6.0,2.0,128.0
313.0,55.13874816894531,164.7793731689453,6.0,2.0,130.0
308.0,38.66981506347656,76.77645874023438,7.0,1.0,118.0
309.0,42.032012939453125,74.66482543945312,7.0,1.0,120.0
310.0,44.801631927490234,72.13308715820312,7.0,1.0,122.0
311.0,42.862491607666016,69.44584655761719,7.0,1.0,125.0
313.0,46.34113693237305,71.10934448242188,7.0,1.0,129.0
314.0,43.10250473022461,73.87590026855469,7.0,1.0,131.0
315.0,43.905269622802734,73.65516662597656,7.0,1.0,132.0
318.0,43.55354690551758,80.0742416381836,7.0,1.0,135.0
319.0,41.31278610229492,81.15914916992188,7.0,1.0,137.0
320.0,41.31036376953125,80.77591705322266,7.0,1.0,138.0
321.0,40.80936050415039,82.10539245605469,7.0,1.0,139.0
322.0,43.32212829589844,87.93399810791016,7.0,1.0,140.0
323.0,45.35321807861328,89.69967651367188,7.0,1.0,142.0
324.0,43.91277313232422,88.74825286865234,7.0,1.0,143.0
325.0,41.21002197265625,90.9842529296875,7.0,1.0,144.0
