amp,ang,chi_squares,col,colCI,err,frame,goodfit,molid,offset,roinum,row,rowCI,states,sum,widthc,widthr
1105.2833,0.0,11132664.0,172.802,"(0.506865, 0.)",0.14208192,5.0,1,1.0,23.482143,2,67.1116,"(0.506865, 0.)",0,10129.446,0.69376004,0.69376004
219.67328,0.0,12454910.0,171.11008,"(0., 9.274551)",0.050120056,17.0,0,2.0,-70.7811,2,71.765076,"(0., 9.274551)",0,14869.946,-5.994419,-5.994419
249.99219,0.0,18890622.0,169.87044,"(3.2171006, 0.)",0.05180472,21.0,0,3.0,15.906635,2,70.15926,"(3.2171006, 0.)",0,16941.988,2.809651,2.809651
1898.574,0.0,14220090.0,170.88614,"(0.30155033, 0.)",0.20517677,55.0,0,4.0,35.18176,2,58.723442,"(0.30155033, 0.)",0,13896.571,0.55841094,0.55841094
185.65482,0.0,10168584.0,21.361195,"(12.697279, 0.)",0.059927583,86.0,0,5.0,-29.54483,1,31.158318,"(12.697279, 0.)",0,4050.234,3.3227136,3.3227136
483.6073,0.0,17104906.0,159.45569,"(0.66694176, 0.)",0.062456787,103.0,0,6.0,66.37697,2,73.90927,"(0.66694176, 0.)",0,24259.559,1.2923253,1.2923253
238.72452,0.0,11005694.0,86.07738,"(42.267048, 0.)",0.06731677,115.0,0,7.0,-123.53916,1,55.090492,"(42.267048, 0.)",0,3175.9385,6.135231,6.135231
415.9054,0.0,10930837.0,62.10377,"(3.533611, 0.)",0.08613396,117.0,1,8.0,-3.8888264,1,43.432922,"(3.533611, 0.)",0,4316.0825,1.4424598,1.4424598
1503.4307,0.0,11100071.0,40.41749,"(0.24932429, 0.)",0.11094779,153.0,0,9.0,30.199312,1,27.848083,"(0.24932429, 0.)",0,10682.521,0.4483082,0.4483082
322.59503,0.0,13255844.0,38.753307,"(2.0915067, 0.)",0.09044987,154.0,1,10.0,18.763607,1,29.773352,"(2.0915067, 0.)",0,15966.71,2.280822,2.280822
187.56563,0.0,14058363.0,40.906067,"(9.341614, 0.)",0.046971202,155.0,0,11.0,-37.89476,1,29.819927,"(9.341614, 0.)",0,10179.5205,4.493378,4.493378
301.1939,0.0,14324436.0,173.49611,"(3.8673143, 0.)",0.09004152,155.0,1,12.0,-7.3581433,2,78.68717,"(3.8673143, 0.)",0,11451.121,2.6828394,2.6828394
269.01498,0.0,13254889.0,41.43491,"(2.0880373, 0.)",0.075068116,156.0,1,13.0,27.694939,1,28.113468,"(2.0880373, 0.)",0,19205.145,2.5768466,2.5768466
218.81226,0.0,11925836.0,171.52972,"(4.7783947, 0.)",0.072143495,156.0,0,14.0,-11.941573,2,80.90672,"(4.7783947, 0.)",0,11968.791,3.3820045,3.3820045
254.50598,0.0,12849972.0,38.946747,"(2.0407019, 0.)",0.0648098,157.0,0,15.0,28.468111,1,29.747673,"(2.0407019, 0.)",0,17547.71,2.4144,2.4144
357.2612,0.0,13987070.0,41.659668,"(2.642501, 0.)",0.125637,158.0,1,16.0,1.3760749,1,30.059452,"(2.642501, 0.)",0,16777.52,2.7062354,2.7062354
192.67018,0.0,14107588.0,42.121796,"(4.152699, 0.)",0.046253383,159.0,0,17.0,5.49197,1,30.185747,"(4.152699, 0.)",0,13869.191,3.2128136,3.2128136
677.0039,0.0,17634660.0,171.6284,"(1.3684238, 0.)",0.24163961,170.0,1,18.0,20.978113,2,55.202904,"(1.3684238, 0.)",0,27235.326,2.2312784,2.2312784
554.7275,0.0,23271650.0,171.44516,"(1.4362694, 0.)",0.18374771,171.0,1,19.0,52.35077,2,56.174255,"(1.4362694, 0.)",0,44647.133,2.920914,2.920914
971.6074,0.0,25358000.0,169.34154,"(1.3246812, 0.)",0.37983346,172.0,1,20.0,-1.1380936,2,62.49482,"(1.3246812, 0.)",0,47958.26,2.8208895,2.8208895
896.97595,0.0,26182090.0,164.17381,"(1.0906911, 0.)",0.32542014,173.0,1,21.0,50.098793,2,63.50611,"(1.0906911, 0.)",0,55449.625,2.700874,2.700874
609.14026,0.0,20925924.0,168.0086,"(1.4504123, 0.)",0.22981513,174.0,1,22.0,32.897,2,64.490135,"(1.4504123, 0.)",0,41223.086,2.888245,2.888245
566.5091,0.0,20629228.0,169.30795,"(1.4405113, 0.)",0.20649976,175.0,1,23.0,40.459858,2,63.589176,"(1.4405113, 0.)",0,40795.49,2.8687918,2.8687918
662.80115,0.0,23977072.0,168.25749,"(1.2890364, 0.)",0.23417485,176.0,1,24.0,52.357903,2,55.05161,"(1.2890364, 0.)",0,48853.543,2.8572557,2.8572557
721.8176,0.0,27421128.0,166.51242,"(0.76301825, 0.)",0.16108441,177.0,1,25.0,113.581276,2,58.072834,"(0.76301825, 0.)",0,50341.965,1.9650962,1.9650962
716.302,0.0,18280936.0,162.36093,"(1.3182615, 0.)",0.3140319,178.0,1,26.0,18.57689,2,52.8932,"(1.3182615, 0.)",0,40406.25,2.7973018,2.7973018
824.21265,0.0,22685832.0,163.53362,"(1.229804, 0.)",0.32554698,179.0,1,27.0,27.821625,2,52.89906,"(1.229804, 0.)",0,47404.03,2.7645342,2.7645342
1826.9772,0.0,23039918.0,162.65262,"(0.4713736, 0.)",0.54798245,180.0,1,28.0,95.73062,2,54.560654,"(0.4713736, 0.)",0,62956.258,1.7533345,1.7533345
1009.6355,0.0,25113280.0,164.64899,"(0.7938493, 0.)",0.28864497,182.0,1,29.0,75.02802,2,50.64206,"(0.7938493, 0.)",0,45872.91,1.9528277,1.9528277
649.1609,0.0,15601538.0,165.8851,"(1.4081085, 0.)",0.3045671,183.0,1,30.0,11.139949,2,51.000908,"(1.4081085, 0.)",0,34698.914,2.784095,2.784095
558.2906,0.0,26972782.0,164.73596,"(1.5714169, 0.)",0.16196638,184.0,1,31.0,48.91125,2,53.70769,"(1.5714169, 0.)",0,42528.773,2.8583665,2.8583665
1062.5211,0.0,23735228.0,163.23271,"(0.70257187, 0.)",0.29377633,185.0,1,32.0,79.4274,2,58.094124,"(0.70257187, 0.)",0,44576.973,1.7995734,1.7995734
212.68628,0.0,11296204.0,105.64488,"(22.998793, 0.)",0.07330239,186.0,0,33.0,-43.972794,1,50.325016,"(22.998793, 0.)",0,2479.4045,3.4369864,3.4369864
461.5429,0.0,21581962.0,164.3836,"(3.0392418, 0.)",0.14541608,186.0,1,34.0,-50.693573,2,57.992344,"(3.0392418, 0.)",0,45489.312,4.9988008,4.9988008
626.3223,0.0,22963982.0,163.55844,"(1.5674877, 0.)",0.18849605,187.0,1,35.0,26.432272,2,60.062717,"(1.5674877, 0.)",0,30276.309,2.4004867,2.4004867
1095.8839,0.0,23509034.0,161.8873,"(0.9372786, 0.)",0.40515852,188.0,1,36.0,40.16311,2,55.816936,"(0.9372786, 0.)",0,50215.004,2.3686063,2.3686063
866.5737,0.0,14527292.0,160.90248,"(0.9449783, 0.)",0.3675236,189.0,1,37.0,30.035519,2,55.90505,"(0.9449783, 0.)",0,32805.953,2.1051714,2.1051714
645.0733,0.0,22726914.0,161.77162,"(1.7280135, 0.)",0.23195553,190.0,1,38.0,9.294558,2,57.31928,"(1.7280135, 0.)",0,34963.008,2.829443,2.829443
869.0712,0.0,10880204.0,166.59422,"(0.5639038, 0.)",0.14629257,190.0,1,39.0,30.831955,2,99.68769,"(0.5639038, 0.)",0,13360.866,0.902759,0.902759
629.96277,0.0,18751302.0,161.91107,"(1.3347974, 0.)",0.24770808,191.0,1,40.0,33.29704,2,57.570393,"(1.3347974, 0.)",0,37770.82,2.6738899,2.6738899
544.81696,0.0,28583398.0,167.78088,"(1.2940378, 0.)",0.14411598,192.0,1,41.0,85.51513,2,50.49095,"(1.2940378, 0.)",0,50487.6,2.7615845,2.7615845
555.50916,0.0,19886888.0,167.22717,"(1.562968, 0.)",0.21169275,193.0,1,42.0,28.920921,2,50.64351,"(1.562968, 0.)",0,39042.707,2.9779162,2.9779162
2368.468,0.0,8681907.0,167.64996,"(0.33057848, 0.)",0.20083016,193.0,0,43.0,14.482594,2,103.5112,"(0.33057848, 0.)",0,7005.293,0.44326586,0.44326586
297.0309,0.0,11815257.0,165.1483,"(2.5983102, 0.)",0.1021325,194.0,1,44.0,7.472184,2,53.28276,"(2.5983102, 0.)",0,14987.771,2.6257257,2.6257257
739.79034,0.0,20019484.0,162.85942,"(1.0229797, 0.)",0.26932693,195.0,1,45.0,57.086067,2,54.797344,"(1.0229797, 0.)",0,42980.33,2.3880491,2.3880491
325.84634,0.0,10012868.0,170.2186,"(2.6140695, 0.)",0.09598011,195.0,1,46.0,3.4138548,2,102.854126,"(2.6140695, 0.)",0,8806.247,1.954331,1.954331
497.37704,0.0,17148628.0,165.13321,"(1.7170058, 0.)",0.2027092,196.0,1,47.0,18.876194,2,54.572605,"(1.7170058, 0.)",0,34090.4,3.0429933,3.0429933
912.4698,0.0,14627691.0,167.37791,"(0.87498033, 0.)",0.3959216,197.0,1,48.0,35.24297,2,62.32119,"(0.87498033, 0.)",0,36408.117,2.1387987,2.1387987
216.35962,0.0,13362645.0,52.2638,"(5.8050656, 0.)",0.05835861,198.0,0,49.0,-12.512744,1,39.998474,"(5.8050656, 0.)",0,8969.758,3.0587566,3.0587566
341.50967,0.0,23138252.0,105.11856,"(1.4770219, 0.)",0.070776224,198.0,0,50.0,76.05576,1,50.675747,"(1.4770219, 0.)",0,36546.99,2.6091037,2.6091037
693.55334,0.0,23301320.0,164.04286,"(1.2727221, 0.)",0.23208696,198.0,1,51.0,44.36555,2,57.863293,"(1.2727221, 0.)",0,40995.312,2.5446365,2.5446365
329.0578,0.0,18952816.0,101.54167,"(1.6008483, 0.)",0.0714795,199.0,0,52.0,51.675644,1,50.12712,"(1.6008483, 0.)",0,26705.33,2.3869884,2.3869884
512.6523,0.0,24402506.0,165.73773,"(1.6335313, 0.)",0.15964079,199.0,1,53.0,45.824394,2,55.37697,"(1.6335313, 0.)",0,42705.95,3.0411808,3.0411808
106.3915,0.0,23814526.0,-2212.307,"(31071.236, 0.)",-0.0010980368,200.0,0,54.0,114.63731,1,-34345.31,"(31071.236, 0.)",2,35877.867,1945.2009,1945.2009
230.03348,0.0,18192342.0,104.0901,"(1.7369493, 0.)",0.051004946,202.0,0,55.0,69.26684,1,51.1615,"(1.7369493, 0.)",0,31054.094,2.8254244,2.8254244
370.40463,0.0,21613956.0,103.978,"(6.6329165, 0.)",0.059024632,203.0,0,56.0,-117.96004,1,48.96005,"(6.6329165, 0.)",0,34812.805,7.0334425,7.0334425
2548.7075,0.0,13311943.0,169.05263,"(0.14018561, 0.)",0.24319082,203.0,0,57.0,55.22766,2,98.70258,"(0.14018561, 0.)",0,18902.496,0.4204892,0.4204892
