FRAME_N,LOC_R,LOC_C,TRACK_N,ROI_NUM,MOL_ID
57.0,34.77198791503906,29.26192283630371,1.0,2.0,11.0
58.0,32.566383361816406,27.943504333496094,1.0,2.0,12.0
60.0,38.18008041381836,25.41684341430664,1.0,2.0,14.0
62.0,41.69969940185547,27.654842376708984,1.0,2.0,16.0
63.0,45.71398162841797,25.66135025024414,1.0,2.0,17.0
64.0,52.33256149291992,28.308822631835938,1.0,2.0,18.0
65.0,50.037437438964844,32.22127151489258,1.0,2.0,19.0
67.0,47.546504974365234,32.124237060546875,1.0,2.0,21.0
68.0,44.913307189941406,30.563682556152344,1.0,2.0,22.0
69.0,44.15360641479492,28.676616668701172,1.0,2.0,23.0
70.0,45.480777740478516,25.81456184387207,1.0,2.0,24.0
71.0,47.89559555053711,29.08623504638672,1.0,2.0,25.0
72.0,44.81593322753906,29.888980865478516,1.0,2.0,26.0
73.0,43.46990966796875,20.859209060668945,1.0,2.0,27.0
75.0,36.064414978027344,22.595060348510742,1.0,2.0,28.0
78.0,41.29609298706055,27.81182861328125,1.0,2.0,30.0
80.0,35.657588958740234,28.04475975036621,1.0,2.0,32.0
84.0,29.778772354125977,23.47330093383789,2.0,2.0,36.0
85.0,23.219524383544922,24.811948776245117,2.0,2.0,37.0
86.0,22.356334686279297,21.548795700073242,2.0,2.0,38.0
87.0,15.43693733215332,22.06277084350586,2.0,2.0,39.0
88.0,19.920961380004883,23.26512908935547,2.0,2.0,40.0
89.0,25.997045516967773,23.24097442626953,2.0,2.0,41.0
234.0,22.51864242553711,18.743921279907227,3.0,2.0,45.0
236.0,23.060569763183594,20.199359893798828,3.0,2.0,46.0
237.0,22.59446907043457,20.37396240234375,3.0,2.0,47.0
238.0,21.28369903564453,19.729644775390625,3.0,2.0,48.0
239.0,22.56023406982422,19.554290771484375,3.0,2.0,49.0
263.0,100.58335876464844,46.48397445678711,4.0,1.0,50.0
264.0,96.79874420166016,50.4406852722168,4.0,1.0,52.0
265.0,96.31329345703125,52.108978271484375,4.0,1.0,54.0
266.0,97.35945129394531,50.75620651245117,4.0,1.0,56.0
267.0,96.49394989013672,51.411651611328125,4.0,1.0,58.0
268.0,97.83845520019531,54.047630310058594,4.0,1.0,60.0
269.0,96.36052703857422,49.645240783691406,4.0,1.0,62.0
270.0,95.13096618652344,47.61653137207031,4.0,1.0,64.0
271.0,93.78115844726562,46.14543151855469,4.0,1.0,66.0
264.0,21.674407958984375,16.96043586730957,5.0,2.0,51.0
265.0,22.07811164855957,17.194664001464844,5.0,2.0,53.0
266.0,22.612178802490234,15.883516311645508,5.0,2.0,55.0
268.0,21.457130432128906,17.484214782714844,5.0,2.0,59.0
269.0,22.580724716186523,18.286670684814453,5.0,2.0,61.0
270.0,22.729280471801758,16.981884002685547,5.0,2.0,63.0
271.0,22.59784698486328,16.74288558959961,5.0,2.0,65.0
272.0,20.700267791748047,17.28766632080078,5.0,2.0,67.0
273.0,22.089561462402344,16.519847869873047,5.0,2.0,68.0
274.0,22.151447296142578,18.373859405517578,5.0,2.0,70.0
275.0,22.379440307617188,16.730876922607422,5.0,2.0,73.0
276.0,22.30246353149414,17.104381561279297,5.0,2.0,75.0
277.0,22.61505889892578,17.232994079589844,5.0,2.0,77.0
279.0,22.86121368408203,17.751262664794922,5.0,2.0,80.0
280.0,95.80707550048828,49.69369888305664,6.0,1.0,83.0
281.0,93.89830017089844,48.733734130859375,6.0,1.0,84.0
282.0,95.8017349243164,47.24833679199219,6.0,1.0,86.0
283.0,86.61354064941406,47.63654327392578,6.0,1.0,87.0
284.0,90.81377410888672,45.926795959472656,6.0,1.0,89.0
285.0,92.45914459228516,47.06769561767578,6.0,1.0,90.0
286.0,88.19445037841797,45.93346405029297,6.0,1.0,91.0
287.0,84.70085144042969,46.457054138183594,6.0,1.0,93.0
290.0,83.57933807373047,39.70132827758789,6.0,1.0,98.0
417.0,20.113454818725586,18.00857162475586,7.0,2.0,106.0
418.0,21.10506820678711,19.37586212158203,7.0,2.0,107.0
419.0,20.859363555908203,18.758699417114258,7.0,2.0,108.0
420.0,20.982009887695312,19.162067413330078,7.0,2.0,109.0
421.0,20.57935333251953,18.53680419921875,7.0,2.0,110.0
422.0,20.23072052001953,17.020477294921875,7.0,2.0,111.0
423.0,19.822063446044922,19.004009246826172,7.0,2.0,112.0
424.0,20.89735221862793,17.547014236450195,7.0,2.0,113.0
425.0,18.943359375,16.90037727355957,7.0,2.0,114.0
426.0,17.641876220703125,19.123363494873047,7.0,2.0,115.0
427.0,20.19830322265625,17.465007781982422,7.0,2.0,116.0
431.0,20.947330474853516,15.983312606811523,7.0,2.0,117.0
432.0,21.854503631591797,17.375492095947266,7.0,2.0,118.0
433.0,18.423547744750977,16.330663681030273,7.0,2.0,119.0
440.0,19.872055053710938,18.64621925354004,8.0,2.0,120.0
441.0,20.09505844116211,17.08114242553711,8.0,2.0,121.0
442.0,19.905643463134766,17.026248931884766,8.0,2.0,122.0
444.0,19.475860595703125,17.61880111694336,8.0,2.0,125.0
445.0,20.24791717529297,15.916473388671875,8.0,2.0,126.0
