amp,ang,chi_squares,col,colCI,err,frame,goodfit,molid,offset,roinum,row,rowCI,states,sum,widthc,widthr
294.40305,0.0,11493186.0,123.33365,"(9.476267, 0.)",0.07705331,4.0,0,1.0,-17.852007,1,50.645695,"(9.476267, 0.)",0,2862.726,2.082494,2.082494
194.87769,0.0,12432982.0,55.650566,"(3.0872033, 0.)",0.041379035,23.0,0,2.0,14.950014,2,72.70398,"(3.0872033, 0.)",0,11746.783,2.4617546,2.4617546
3169.2273,0.0,8993549.0,118.83389,"(0.756936, 0.)",0.33692086,23.0,0,3.0,-1.4945847,1,53.693287,"(0.756936, 0.)",0,2433.415,0.37610134,0.37610134
395.8971,0.0,8885169.0,127.81106,"(5.6554003, 0.)",0.09939855,40.0,1,4.0,-10.145896,1,42.101486,"(5.6554003, 0.)",0,2527.5925,1.4802759,1.4802759
501.28058,0.0,14449586.0,69.30745,"(1.4405797, 0.)",0.08566302,48.0,1,5.0,18.291737,2,78.30658,"(1.4405797, 0.)",0,11077.581,1.3546048,1.3546048
3151.1465,0.0,12570012.0,59.76072,"(0.18691625, 0.)",0.22977012,57.0,0,6.0,33.828278,2,97.63717,"(0.18691625, 0.)",0,12795.32,0.40030992,0.40030992
270.6153,0.0,8880888.0,101.28437,"(3.1345859, 0.)",0.086138785,61.0,1,7.0,0.55109906,1,30.765833,"(3.1345859, 0.)",0,7858.4663,2.1280062,2.1280062
1476.2478,0.0,6863336.0,94.95092,"(1.9033024, 0.)",0.25056142,70.0,0,8.0,-14.30828,1,28.83503,"(1.9033024, 0.)",0,-1439.7048,0.53638226,0.53638226
1827.1011,0.0,9965645.0,62.56917,"(0.17757301, 0.)",0.10088062,72.0,0,9.0,37.134098,2,126.7262,"(0.17757301, 0.)",0,12546.555,0.41253555,0.41253555
131.42932,0.0,12589854.0,125.3009,"(22.717924, 0.)",0.039743185,83.0,0,10.0,-29.234293,1,38.268272,"(22.717924, 0.)",0,4725.59,5.0543237,5.0543237
183.85329,0.0,13849224.0,57.8011,"(3.9831948, 0.)",0.037109733,95.0,0,11.0,9.151367,2,100.81567,"(3.9831948, 0.)",0,11050.8,2.7022402,2.7022402
227.11885,0.0,13271441.0,66.96568,"(1.7065258, 0.)",0.044420004,110.0,0,12.0,40.13577,2,121.751175,"(1.7065258, 0.)",0,18454.227,2.1925101,2.1925101
187.87717,0.0,12717424.0,65.00467,"(6.50881, 0.)",0.046074927,124.0,0,13.0,-28.0623,2,84.95873,"(6.50881, 0.)",0,16016.785,4.939709,4.939709
262.8285,0.0,10161335.0,62.905968,"(4.849856, 0.)",0.071120024,125.0,0,14.0,-6.8176646,2,133.22188,"(4.849856, 0.)",0,5335.4277,2.1024787,2.1024787
411.92578,0.0,12733886.0,64.28532,"(2.1470947, 0.)",0.17104524,126.0,1,15.0,3.1960542,2,86.34489,"(2.1470947, 0.)",0,19281.266,2.6675596,2.6675596
1736.491,0.0,13004037.0,66.36179,"(0.2967623, 0.)",0.21174645,127.0,0,16.0,40.93992,2,87.63729,"(0.2967623, 0.)",0,16145.525,0.6290533,0.6290533
265.78558,0.0,14984968.0,64.39203,"(8.319308, 0.)",0.06642777,128.0,0,17.0,-81.375946,2,84.77199,"(8.319308, 0.)",0,17004.082,5.732261,5.732261
237.36696,0.0,14175224.0,65.92692,"(11.413867, 0.)",0.039326727,131.0,0,18.0,-95.39012,2,78.3845,"(11.413867, 0.)",0,16136.234,6.962497,6.962497
358.5563,0.0,14801890.0,58.731014,"(0., 12.930805)",0.05131364,137.0,0,19.0,-194.73955,2,129.51254,"(0., 12.930805)",0,20195.195,-8.66167,-8.66167
332.2791,0.0,14735128.0,62.843204,"(6.6018066, 0.)",0.0891881,138.0,1,20.0,-107.62471,2,139.09364,"(6.6018066, 0.)",0,23355.188,6.105143,6.105143
405.7377,0.0,22529790.0,57.79091,"(2.5604556, 0.)",0.11939365,139.0,1,21.0,5.0048227,2,108.70941,"(2.5604556, 0.)",0,48082.098,4.561001,4.561001
307.54175,0.0,20565848.0,61.030884,"(1.7773526, 0.)",0.0663296,140.0,0,22.0,54.874393,2,111.81789,"(1.7773526, 0.)",0,29525.215,2.66301,2.66301
254.4878,0.0,21179332.0,58.7119,"(1.1910549, 0.)",0.046465337,141.0,0,23.0,107.80395,2,118.63249,"(1.1910549, 0.)",0,41097.777,2.5174937,2.5174937
172.18207,0.0,15060910.0,65.441315,"(2.0584345, 0.)",0.030164242,143.0,0,24.0,49.16128,2,109.41079,"(2.0584345, 0.)",0,21934.559,2.6726205,2.6726205
1383.0627,0.0,14442952.0,58.27475,"(0.1361357, 0.)",0.09167367,144.0,0,25.0,89.739395,2,73.627655,"(0.1361357, 0.)",0,28316.066,0.5253804,0.5253804
517.53284,0.0,20086516.0,59.267296,"(0.58556265, 0.)",0.078362584,145.0,1,26.0,104.20324,2,82.1319,"(0.58556265, 0.)",0,37427.9,1.4995917,1.4995917
179.07162,0.0,14805254.0,63.86733,"(3.217487, 0.)",0.03928137,146.0,0,27.0,35.44252,2,69.59218,"(3.217487, 0.)",0,30384.367,4.4986796,4.4986796
185.9578,0.0,15208170.0,65.55963,"(1.8098251, 0.)",0.037657797,147.0,0,28.0,65.48082,2,75.18917,"(1.8098251, 0.)",0,28935.21,2.9407506,2.9407506
310.40015,0.0,14042672.0,62.303703,"(7.596496, 0.)",0.07651377,149.0,1,29.0,-110.318954,2,72.84356,"(7.596496, 0.)",0,24342.684,7.003061,7.003061
136.24402,0.0,19010264.0,58.884415,"(5.287532, 0.)",0.014459431,150.0,0,30.0,33.9621,2,78.266075,"(5.287532, 0.)",0,30920.068,5.8315263,5.8315263
196.15294,0.0,16577502.0,59.701973,"(1.6544522, 0.)",0.027417004,151.0,0,31.0,53.70918,2,70.6246,"(1.6544522, 0.)",0,21546.646,2.2111883,2.2111883
620.73456,0.0,17853322.0,57.686337,"(0.5588685, 0.)",0.08023608,152.0,1,32.0,69.55968,2,71.93974,"(0.5588685, 0.)",0,25430.549,1.1685103,1.1685103
143.22057,0.0,17860654.0,67.00025,"(2.172724, 0.)",0.019519866,152.0,0,33.0,58.868942,2,74.79958,"(2.172724, 0.)",0,24269.607,2.800211,2.800211
466.12863,0.0,18472152.0,70.42574,"(0.7179747, 0.)",0.07363516,153.0,0,34.0,81.95603,2,73.63708,"(0.7179747, 0.)",0,30708.473,1.5482394,1.5482394
369.07147,0.0,12128344.0,123.89017,"(1.5580336, 0.)",0.07369447,160.0,0,35.0,21.030561,1,47.507393,"(1.5580336, 0.)",0,11954.003,1.591848,1.591848
1512.1703,0.0,7341442.5,130.02878,"(0.28967452, 0.)",0.19484311,162.0,0,36.0,21.792795,1,44.627117,"(0.28967452, 0.)",0,8614.984,0.4926885,0.4926885
