amp,ang,chi_squares,col,colCI,err,frame,goodfit,molid,offset,roinum,row,rowCI,states,sum,widthc,widthr
3758.6206,0.0,8563263.0,60.58793,"(0.15573652, 0.)",0.19328141,2.0,0,1.0,29.374338,3,103.359955,"(0.15573652, 0.)",0,10958.815,0.36326817,0.36326817
3648.0354,0.0,7382648.0,59.15224,"(0.22234285, 0.)",0.22242063,3.0,0,2.0,13.735013,3,103.51331,"(0.22234285, 0.)",0,6111.3613,0.3278941,0.3278941
1095.1594,0.0,6115818.0,53.276024,"(0.6619144, 0.)",0.19119209,5.0,0,3.0,7.5516043,1,53.978268,"(0.6619144, 0.)",0,4760.6914,0.6117674,0.6117674
147.10797,0.0,8921264.0,63.14132,"(3.109051, 0.)",0.041077852,5.0,0,4.0,17.698374,3,101.74398,"(3.109051, 0.)",0,13457.516,3.0248077,3.0248077
188.04897,0.0,8282769.5,42.327854,"(6.791473, 0.)",0.076217115,6.0,1,5.0,-18.28912,1,53.68668,"(6.791473, 0.)",0,6151.4253,3.097548,3.097548
488.76984,0.0,8877476.0,61.577744,"(0.46462965, 0.)",0.053842306,14.0,0,6.0,36.60167,3,93.47229,"(0.46462965, 0.)",0,12680.229,0.8199887,0.8199887
1476.9669,0.0,6161410.5,157.71939,"(0.34108996, 0.)",0.13862008,20.0,0,7.0,13.62312,4,152.41537,"(0.34108996, 0.)",0,5717.228,0.44313604,0.44313604
236.96094,0.0,13360176.0,166.14676,"(4.141151, 0.)",0.06725979,23.0,0,8.0,-3.2224638,2,82.23967,"(4.141151, 0.)",0,11857.197,2.9415765,2.9415765
612.80865,0.0,9604116.0,147.99884,"(1.0087583, 0.)",0.17261058,27.0,1,9.0,20.232988,2,37.35311,"(1.0087583, 0.)",0,12954.686,1.3585972,1.3585972
333.7661,0.0,8654850.0,148.02783,"(0.9540995, 0.)",0.053226233,28.0,0,10.0,27.28234,2,33.008175,"(0.9540995, 0.)",0,10987.013,1.214306,1.214306
294.3136,0.0,7265403.0,43.859142,"(1.0642807, 0.)",0.044891596,36.0,0,11.0,20.360498,1,33.665047,"(1.0642807, 0.)",0,8340.625,1.1521703,1.1521703
250.41719,0.0,6851905.0,153.58354,"(1.8349096, 0.)",0.06555319,36.0,0,12.0,13.145058,4,149.5182,"(1.8349096, 0.)",0,8160.2285,1.664872,1.664872
157.19615,0.0,10102045.0,46.973675,"(5.982497, 0.)",0.041166186,37.0,0,13.0,-4.5215197,3,112.08381,"(5.982497, 0.)",0,6828.4844,2.856176,2.856176
